# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
a li 	阿里	c=13 d=1 t=150733
a li yun 	阿里雲	c=48 d=1.05079 t=152089
a li yun pan 	阿里雲盤	c=3 d=1.00046 t=144548
a po 	阿婆	c=1 d=1 t=131573
a qi 	阿奇	c=1 d=1 t=114577
ai 	唉	c=15 d=1 t=149466
ai 	愛	c=19 d=1.00231 t=151855
ai 	癌	c=2 d=1.97531 t=94487
ai na 	挨拿	c=1 d=1 t=35398
ai ni 	愛你	c=0 d=0.1 t=49084
ai ni zei 	愛你賊	c=1 d=1 t=49085
ai pi 	挨批	c=1 d=1 t=149575
ai qi 	愛妻	c=0 d=0.1 t=118782
an 	安	c=4 d=1 t=114334
an 	按	c=116 d=2.08632 t=156148
an ding 	安定	c=1 d=1 t=31928
an fa shi 	案發時	c=0 d=0.1 t=85383
an fa shi da su da wa dai fen se fen se fen se fa gu jia qi gu jia qi 	案發時大蘇打襪帶粉色粉色粉色發顧佳奇顧佳奇	c=1 d=1 t=85384
an hui sheng 	安徽省	c=1 d=1 t=1074
an jian 	按鍵	c=2 d=1 t=115898
an li 	案例	c=1 d=1 t=123821
an mo 	按摩	c=1 d=1 t=151003
an na 	安娜	c=0 d=0.1 t=49838
an niu 	按鈕	c=4 d=1 t=43817
an pai 	安排	c=65 d=1.0002 t=155824
an quan 	安全	c=10 d=1 t=130124
an shi 	按時	c=1 d=1 t=93609
an ying 	暗影	c=1 d=1 t=110656
an zai xian 	安宰賢	c=1 d=1 t=105724
an zhao 	按照	c=2 d=1.85642 t=108989
an zhi 	安置	c=1 d=1 t=99820
an zhuang 	安裝	c=107 d=1.04482 t=150223
an zhuang bao 	安裝包	c=3 d=1 t=89705
an zhuang pan 	安裝盤	c=1 d=1 t=85981
android 	Android	c=1 d=1 t=143862
ang 	昂	c=1 d=1 t=80006
ao 	奧	c=3 d=1.00039 t=88243
ao gu 	傲骨	c=1 d=1 t=98620
ao te man 	奧特曼	c=3 d=1 t=117929
ba 	吧	c=1248 d=3.63093 t=156664
ba 	把	c=304 d=1.00086 t=156340
ba 	爸	c=1 d=1 t=76528
ba ba 	爸爸	c=2 d=1 t=105836
ba dian 	八點	c=1 d=1 t=105768
ba na ma 	巴拿馬	c=1 d=1 t=79502
ba ren 	把人	c=1 d=1 t=85951
ba shi 	巴士	c=6 d=1 t=59950
ba te 	巴特	c=0 d=0.1 t=49083
bai 	白	c=32 d=1 t=151597
bai du 	百度	c=14 d=1 t=139281
bai fen bi 	百分比	c=7 d=3.74528 t=92223
bai ming dan 	白名單	c=20 d=1.94176 t=152082
bai ping 	白屏	c=3 d=1 t=30864
bai se 	白色	c=1 d=1 t=97788
bai tian 	白天	c=5 d=1 t=98993
bai tiao 	白條	c=1 d=1 t=94572
bai xue 	白雪	c=1 d=1 t=117926
bai yang 	白羊	c=1 d=1 t=83639
ban 	半	c=11 d=1 t=154172
ban 	搬	c=5 d=1 t=147058
ban 	板	c=2 d=1 t=50620
ban 	版	c=54 d=1.32844 t=156449
ban 	班	c=6 d=1.97045 t=139681
ban 	辦	c=10 d=1 t=133767
ban ben 	版本	c=78 d=1.00013 t=156469
ban ben hao 	版本號	c=2 d=1 t=154514
ban dian 	半點	c=2 d=1 t=72430
ban fa 	辦法	c=24 d=1 t=149573
ban fen 	半分	c=2 d=1.67368 t=126212
ban gong 	辦公	c=1 d=1 t=70201
ban gong shi 	辦公室	c=3 d=1.90032 t=77945
ban gong si 	辦公司	c=1 d=1 t=73606
ban jiao 	半角	c=1 d=1 t=68219
ban kuai 	板塊	c=24 d=1.10493 t=132703
ban lv 	伴侶	c=4 d=1.92312 t=117957
ban nian 	半年	c=3 d=2.89489 t=94511
ban shi 	辦事	c=1 d=1 t=53049
ban shi chu 	辦事處	c=1 d=1 t=138021
ban tian 	半天	c=11 d=1.72979 t=133139
bang 	幫	c=234 d=1.0006 t=156529
bang 	榜	c=6 d=4.99295 t=143377
bang 	綁	c=14 d=1 t=72612
bang bang 	幫幫	c=2 d=1 t=133439
bang ding 	綁定	c=71 d=1 t=153248
bang mang 	幫忙	c=60 d=1.01078 t=154163
bang mang na ge 	幫忙哪個	c=1 d=1 t=148182
bang ni 	幫你	c=2 d=1 t=61296
bang shang 	綁上	c=1 d=1 t=128639
bang wo 	幫我	c=17 d=1.12682 t=134704
bao 	包	c=375 d=1.04672 t=156685
bao 	報	c=63 d=1 t=153061
bao 	薄	c=2 d=1 t=106602
bao bao 	寶寶	c=9 d=1 t=114563
bao bei 	報備	c=8 d=1 t=93286
bao bei 	寶貝	c=2 d=1 t=93287
bao biao 	報表	c=4 d=1 t=131584
bao bu bao 	報不報	c=1 d=1 t=122911
bao chi 	保持	c=13 d=1.00238 t=155813
bao cun 	保存	c=64 d=1 t=146865
bao cuo 	報錯	c=113 d=1.00017 t=155198
bao gao 	報告	c=9 d=1 t=123456
bao guan li 	包管理	c=1 d=1 t=150442
bao han 	包含	c=10 d=1 t=123690
bao hu 	保護	c=2 d=1 t=144553
bao jing 	報警	c=21 d=1.956 t=125005
bao kuo 	包括	c=3 d=1 t=151559
bao lei 	堡壘	c=31 d=1.00001 t=49430
bao lei ji 	堡壘機	c=7 d=1.97578 t=52305
bao liu 	保留	c=35 d=1 t=155754
bao liu zi 	保留字	c=2 d=1.00009 t=95544
bao long 	暴龍	c=1 d=1 t=133376
bao lu 	暴露	c=4 d=1 t=98672
bao mi 	保密	c=11 d=2.25401 t=144439
bao niang 	包娘	c=1 d=1 t=63491
bao po tong 	爆破筒	c=1 d=1 t=150637
bao qian 	抱歉	c=1 d=1 t=96762
bao wen 	報文	c=1 d=1 t=72966
bao xian 	保險	c=2 d=1 t=82615
bao zha 	爆炸	c=2 d=1 t=121396
bao zhang 	保障	c=1 d=1 t=82616
bao zheng 	保證	c=10 d=1 t=155759
bao zi 	包子	c=1 d=1 t=114560
bei 	備	c=1 d=1 t=99092
bei 	北	c=4 d=1 t=112833
bei 	唄	c=9 d=1 t=153415
bei 	盃	c=2 d=1 t=121954
bei 	背	c=1 d=1 t=121339
bei 	被	c=60 d=1 t=151584
bei 	貝	c=23 d=1 t=151846
bei an 	備案	c=3 d=1 t=116017
